AÑO;DISTRITO;BARRIO;Total;España;Unión Europea (15);Unión Europea (ampliación a 28);Resto países OCDE;Otros países de Europa;Otros países de América Latina;África;Otros países de Asia y Australasia
2019;21. Barajas;211. Alameda de Osuna;113;104;1;0;1;1;4;1;1
2019;21. Barajas;212. Aeropuerto;22;19;0;0;0;1;1;1;0
2019;21. Barajas;213. Casco Histórico de Barajas;66;51;2;4;0;0;6;3;0
2019;21. Barajas;214. Timón;153;144;1;1;0;0;4;2;1
2019;21. Barajas;215. Corralejos;78;75;1;1;0;0;1;0;0
2020;01. Centro;01. Centro;908;673;49;11;17;3;59;24;72
2020;01. Centro;011. Palacio;122;104;5;3;2;0;6;1;1
2020;01. Centro;012. Embajadores;338;234;14;1;3;2;18;17;49
2020;01. Centro;013. Cortes;59;48;4;2;1;0;2;0;2
2020;01. Centro;014. Justicia;130;89;13;1;6;0;15;2;4
2020;01. Centro;015. Universidad;225;177;10;2;5;1;11;4;15
2020;01. Centro;016. Sol;34;21;3;2;0;0;7;0;1
2020;02. Arganzuela;02. Arganzuela;1.317;1.176;23;6;7;2;60;6;37
2020;02. Arganzuela;021. Imperial;185;173;2;3;1;0;5;0;1
2020;02. Arganzuela;022. Acacias;259;235;5;0;0;0;11;2;6
2020;02. Arganzuela;023. Chopera;181;150;3;3;0;1;13;2;9
2020;02. Arganzuela;024. Legazpi;230;220;3;0;2;1;2;0;2
2020;02. Arganzuela;025. Delicias;248;217;6;0;3;0;14;2;6
2020;02. Arganzuela;026. Palos de Moguer;204;171;4;0;1;0;15;0;13
2020;02. Arganzuela;027. Atocha;10;10;0;0;0;0;0;0;0
2020;03. Retiro;03. Retiro;902;812;20;9;11;4;36;2;8
2020;03. Retiro;031. Pacífico;213;190;4;1;2;1;13;0;2
2020;03. Retiro;032. Adelfas;150;140;0;2;0;1;4;1;2
2020;03. Retiro;033. Estrella;153;142;4;1;0;1;3;1;1
2020;03. Retiro;034. Ibiza;203;171;7;3;8;1;10;0;3
2020;03. Retiro;035. Los Jerónimos;54;50;2;1;0;0;1;0;0
2020;03. Retiro;036. Niño Jesús;129;119;3;1;1;0;5;0;0
2020;04. Salamanca;04. Salamanca;1.191;1.053;44;10;16;4;43;2;19
2020;04. Salamanca;041. Recoletos;126;105;9;2;3;1;4;0;2
2020;04. Salamanca;042. Goya;268;232;14;1;2;0;16;0;3
2020;04. Salamanca;043. Fuente del Berro;161;142;3;3;2;0;5;1;5
2020;04. Salamanca;044. Guindalera;304;275;10;3;4;0;9;0;3
2020;04. Salamanca;045. Lista;191;173;5;1;3;1;6;1;1
2020;04. Salamanca;046. Castellana;141;126;3;0;2;2;3;0;5
2020;05. Chamartín;05. Chamartín;1.383;1.263;36;12;5;9;38;3;16
2020;05. Chamartín;051. El Viso;166;158;4;0;0;1;3;0;0
2020;05. Chamartín;052. Prosperidad;303;267;6;5;2;3;15;1;4
2020;05. Chamartín;053. Ciudad Jardín;168;152;9;0;1;0;4;2;0
2020;05. Chamartín;054. Hispanoamérica;329;299;10;4;2;2;6;0;6
2020;05. Chamartín;055. Nueva España;284;267;5;3;0;2;5;0;2
2020;05. Chamartín;056. Castilla;133;120;2;0;0;1;5;0;4
2020;06. Tetuán;06. Tetuán;1.431;1.116;16;19;11;7;153;26;83
2020;06. Tetuán;061. Bellas Vistas;285;202;4;3;0;1;42;7;26
2020;06. Tetuán;062. Cuatro Caminos;290;244;2;4;3;3;17;1;16
2020;06. Tetuán;063. Castillejos;173;142;3;3;3;2;8;2;10
2020;06. Tetuán;064. Almenara;184;148;0;4;1;0;18;5;8
2020;06. Tetuán;065. Valdeacederas;255;194;2;2;4;1;37;4;11
2020;06. Tetuán;066. Berruguete;244;186;5;3;0;0;31;7;12
2020;07. Chamberí;07. Chamberí;1.165;1.043;39;5;12;3;40;8;15
2020;07. Chamberí;071. Gaztambide;186;160;6;2;2;1;7;3;5
2020;07. Chamberí;072. Arapiles;165;148;5;1;1;0;7;0;3
2020;07. Chamberí;073. Trafalgar;216;189;11;0;2;1;7;2;4
2020;07. Chamberí;074. Almagro;178;157;6;1;3;0;8;2;1
2020;07. Chamberí;075. Ríos Rosas;255;233;9;1;2;1;7;0;2
2020;07. Chamberí;076. Vallehermoso;165;156;2;0;2;0;4;1;0
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.455;2.217;50;25;11;7;76;27;42
2020;08. Fuencarral-El Pardo;081. El Pardo;27;25;0;0;0;0;1;1;0
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;23;22;0;0;0;0;0;0;1
2020;08. Fuencarral-El Pardo;083. Peñagrande;311;283;1;7;1;0;10;4;5
2020;08. Fuencarral-El Pardo;084. Pilar;351;311;2;8;1;2;16;5;6
2020;08. Fuencarral-El Pardo;085. La Paz;255;239;5;0;2;2;2;1;4
2020;08. Fuencarral-El Pardo;086. Valverde;777;659;19;9;4;3;41;16;26
2020;08. Fuencarral-El Pardo;087. Mirasierra;430;415;10;0;2;0;3;0;0
2020;08. Fuencarral-El Pardo;088. El Goloso;281;263;13;1;1;0;3;0;0
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;931;834;17;10;7;2;44;3;14
2020;09. Moncloa-Aravaca;091. Casa de Campo;94;86;1;0;1;0;4;0;2
2020;09. Moncloa-Aravaca;092. Argüelles;172;150;7;1;3;0;7;0;4
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;103;96;1;0;1;0;3;1;1
2020;09. Moncloa-Aravaca;094. Valdezarza;240;213;1;4;0;0;17;2;3
2020;09. Moncloa-Aravaca;095. Valdemarín;76;71;1;0;0;0;2;0;2
2020;09. Moncloa-Aravaca;096. El Plantío;11;11;0;0;0;0;0;0;0
2020;09. Moncloa-Aravaca;097. Aravaca;235;207;6;5;2;2;11;0;2
2020;10. Latina;10. Latina;1.710;1.221;21;76;4;23;285;35;44
2020;10. Latina;101. Los Cármenes;122;99;4;3;0;1;10;3;2
2020;10. Latina;102. Puerta del Ángel;315;210;6;7;2;6;56;7;21
2020;10. Latina;103. Lucero;283;187;3;14;1;3;62;7;6
2020;10. Latina;104. Aluche;436;295;4;34;1;3;82;9;8
2020;10. Latina;105. Campamento;156;108;3;4;0;3;35;0;2
2020;10. Latina;106. Cuatro Vientos;56;53;0;1;0;0;1;0;1
2020;10. Latina;107. Águilas;342;269;1;13;0;7;39;9;4
2020;11. Carabanchel;11. Carabanchel;2.111;1.500;16;80;10;16;342;71;75
2020;11. Carabanchel;111. Comillas;188;144;3;6;1;0;28;2;4
2020;11. Carabanchel;112. Opañel;255;180;2;8;3;0;43;3;16
2020;11. Carabanchel;113. San Isidro;333;237;4;17;1;4;43;16;10
2020;11. Carabanchel;114. Vista Alegre;368;239;3;14;0;4;79;9;20
2020;11. Carabanchel;115. Puerta Bonita;326;206;2;10;0;5;73;17;13
2020;11. Carabanchel;116. Buenavista;391;312;1;18;5;1;35;17;2
2020;11. Carabanchel;117. Abrantes;250;182;1;7;0;2;41;7;10
2020;12. Usera;12. Usera;1.192;810;11;32;2;6;175;31;123
2020;12. Usera;121. Orcasitas;146;118;1;5;0;0;15;1;6
2020;12. Usera;122. Orcasur;150;114;2;3;0;1;14;3;13
2020;12. Usera;123. San Fermín;198;144;3;5;0;1;21;12;12
2020;12. Usera;124. Almendrales;209;139;1;5;1;0;31;6;26
2020;12. Usera;125. Moscardó;215;132;2;6;1;1;42;5;25
2020;12. Usera;126. Zofío;126;81;1;7;0;2;24;3;7
