AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PACMA;Ciudadanos;PSOE;PH;PCTE;PCPE;PUM+J;PACT;VOX;PODEMOS-IUEQUO;PP;RECORTES CERO-GV-PCAS-TC;PODEMOS-IU;MÁS PAÍS-EQUO
2017;05. Chamartín;051. El Viso;12.961;2.017;40;48;10.856;43;2.166;1.022;3;0;0;9;12;2.526;399;4.665;11;-;-
2017;05. Chamartín;052. Prosperidad;28.949;4.800;167;172;23.810;237;5.507;5.272;16;17;1;31;96;3.473;2.935;6.180;45;-;-
2017;05. Chamartín;053. Ciudad Jardín;14.320;2.611;63;71;11.575;125;2.530;2.676;7;6;3;17;39;1.639;1.608;2.905;20;-;-
2017;05. Chamartín;054. Hispanoamérica;24.704;3.766;95;135;20.708;118;5.067;2.966;6;8;3;21;36;3.860;1.358;7.238;27;-;-
2017;05. Chamartín;055. Nueva España;18.190;2.656;42;92;15.400;89;3.782;1.853;6;2;0;25;32;3.164;765;5.669;13;-;-
2017;05. Chamartín;056. Castilla;13.152;2.160;42;72;10.878;97;2.601;1.855;6;2;1;14;21;2.006;864;3.396;15;-;-
2017;06. Tetuán;06. Tetuán;111.996;26.869;669;566;83.892;1.063;16.953;21.747;87;42;42;134;393;11.430;12.794;19.007;200;-;-
2017;06. Tetuán;061. Bellas Vistas;19.643;5.181;115;84;14.263;175;2.579;4.231;19;6;9;33;86;1.595;2.576;2.921;33;-;-
2017;06. Tetuán;062. Cuatro Caminos;26.107;5.123;119;141;20.724;216;4.617;4.229;18;8;1;23;66;3.298;2.258;5.960;30;-;-
2017;06. Tetuán;063. Castillejos;15.681;2.996;65;77;12.543;109;2.802;2.331;7;4;4;11;43;2.220;1.178;3.810;24;-;-
2017;06. Tetuán;064. Almenara;16.799;4.660;108;91;11.940;204;2.184;3.495;10;12;7;29;46;1.492;2.220;2.186;55;-;-
2017;06. Tetuán;065. Valdeacederas;17.323;4.697;116;84;12.426;195;2.469;3.858;24;8;8;20;78;1.431;2.424;1.883;28;-;-
2017;06. Tetuán;066. Berruguete;16.443;4.212;146;89;11.996;164;2.302;3.603;9;4;13;18;74;1.394;2.138;2.247;30;-;-
2017;07. Chamberí;07. Chamberí;109.261;18.647;490;588;89.536;837;19.127;18.274;54;23;21;109;368;14.008;10.373;26.239;103;-;-
2017;07. Chamberí;071. Gaztambide;18.230;3.243;77;102;14.808;155;3.112;3.098;8;4;5;19;63;2.348;1.849;4.130;17;-;-
2017;07. Chamberí;072. Arapiles;19.252;3.451;88;111;15.602;172;3.279;3.751;11;2;3;14;82;2.092;2.194;3.978;24;-;-
